Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-3288.2919560143104718	-3306.9897888360392244	18.697832821728635366	3.9910906563509778167	0.342745	0.0454318	0.0468028	0.0866129	0.0168574	0.00701731	0.0468773	0.116575	0.0107016	0.0273564	0.0212239	0.0131282	0.0687827	0.015593	0.493937	0.0120624	0.00805088	0.457116	0.0132407	0.60529859787612982913	0.276481	0.302218	0.170168	0.251134	0.453872	0.7749	1.0844	1.68682	0.85011308991323653039
10	-3287.2499937490288175	-3306.1424618814317	18.892468132402942871	1.5676419531810388275	0.300966	0.0614718	0.0327085	0.0794773	0.0185727	0.0134037	0.0490517	0.165623	0.0611165	0.0323849	0.0108875	0.0151728	0.143839	0.0139366	0.446116	0.0111153	0.00562867	0.519954	0.00324959	0.54679553282569726136	0.306609	0.297251	0.142554	0.253586	0.235585	0.599441	1.05416	2.11081	0.98467616694757631457
20	-3284.5565621680316326	-3299.0442253573132803	14.487663189281695608	4.0368755875647019948	0.583595	0.0531736	0.0567835	0.0961335	0.0163041	0.0100737	0.0714481	0.114925	0.0239389	0.0329135	0.00178699	0.0057994	0.200811	0.0141454	0.542725	0.00137441	0.00922329	0.429199	0.00333217	0.63296967346003907284	0.292303	0.298557	0.123758	0.285382	0.456377	0.776475	1.08439	1.68276	1.2676865171768725293
30	-3282.2186585511949488	-3298.4418891714099118	16.223230620215218778	1.6893064588155501937	0.534792	0.0576863	0.0621155	0.0986749	0.0152175	0.00485587	0.0729246	0.117437	0.0239389	0.0329135	0.0215361	0.0151704	0.19133	0.00801444	0.492571	0.0134569	0.0168233	0.468547	0.000587193	0.56804897650139518639	0.297775	0.304482	0.128289	0.269454	0.253141	0.617307	1.05984	2.06971	1.2485922279324352946
40	-3294.6702143862771663	-3306.8753235963326915	12.205109210055482549	1.2020047220066123472	0.766431	0.0664737	0.0724166	0.115026	0.0113953	0.0196482	0.103438	0.314222	0.0319515	0.0450602	0.0159351	0.00485871	0.0841445	0.0187916	0.508021	0.00723161	0.015713	0.449955	0.000287215	0.55363177902385463103	0.282207	0.287799	0.133711	0.296284	0.175416	0.530058	1.0268	2.26773	1.6510012818791000022
50	-3295.0840070884123634	-3311.8847297772113052	16.800722688798853	1.9323860613808807596	0.436152	0.0681609	0.0699408	0.167109	0.00733743	0.0120417	0.034798	0.191579	0.0319515	0.0363891	0.0268795	0.0130752	0.0859434	0.016895	0.456748	0.00836393	0.00414912	0.5063	0.0075446	0.57940190924957457597	0.310819	0.314555	0.117401	0.257225	0.285068	0.647626	1.0682	1.9991	1.1813582519767227286
60	-3292.1012409510663019	-3309.8985987901000954	17.797357839033637106	0.9291517786754116548	0.320799	0.0656174	0.0306042	0.0738351	0.0298576	0.00772237	0.0658649	0.223902	0.0172442	0.0568233	0.0304342	0.00699541	0.140224	0.0136668	0.515374	0.0103027	0.00442278	0.447176	0.00905752	0.4720829860976084591	0.275837	0.288807	0.127947	0.307409	0.12261	0.454369	0.987191	2.43583	1.0699239064776409069
70	-3288.5523532811489531	-3306.5978837817656313	18.045530500616571601	1.6117703745717562036	0.360934	0.051432	0.0626072	0.0849717	0.0185886	0.0115255	0.0848546	0.164569	0.0155684	0.0506265	0.0210414	0.028683	0.113041	0.00870755	0.426665	0.0167707	0.00865946	0.5388	0.000397156	0.50524675057645018761	0.269792	0.315526	0.155522	0.25916	0.242084	0.606162	1.05636	2.09539	1.068441876750930053
80	-3281.8877762845500001	-3299.4429574150167355	17.555181130466863237	0.64199160274966116102	0.360934	0.0639288	0.0417689	0.0706052	0.0236736	0.0068385	0.0848739	0.244031	0.0196276	0.0283585	0.0143351	0.00999709	0.0601934	0.02142	0.408376	0.004189	0.00335162	0.562187	0.000476299	0.43780247486152673586	0.308171	0.289107	0.144562	0.258159	0.0618684	0.334825	0.901318	2.70199	1.0291653987425868344
90	-3294.2912039478874249	-3312.3302372706216374	18.03903332273389637	2.8112837180023038108	0.274441	0.0648061	0.0537722	0.0763791	0.0236736	0.00958353	0.0506837	0.187309	0.0167208	0.0349495	0.00591705	0.0299655	0.175208	0.00529014	0.459704	0.0119605	0.0327467	0.486147	0.00415161	0.57041514874885335118	0.27689	0.302712	0.130661	0.289737	0.374114	0.720513	1.08141	1.82396	1.003409843928599221
100	-3282.7485956109180734	-3299.4418812158860419	16.69328560496782643	3.007654238187717155	0.366554	0.0497308	0.0347847	0.0939435	0.0187781	0.00784954	0.0760193	0.229224	0.0263978	0.0380286	0.0137878	0.0318996	0.136911	0.0127192	0.611378	0.00938286	0.00554682	0.358478	0.002496	0.5963272477281127415	0.287603	0.314338	0.128478	0.269581	0.389853	0.731951	1.08255	1.79564	1.1239091991940506343
110	-3287.8261625252926024	-3305.8174426179039074	17.991280092611368957	0.76464621823890976948	0.332858	0.0598877	0.0301405	0.0834035	0.021721	0.00942746	0.0579796	0.267997	0.0139499	0.0368022	0.0225485	0.0128165	0.071689	0.0242761	0.484368	0.0133917	0.000187793	0.456028	0.0217485	0.49933173920446044525	0.284289	0.300523	0.14881	0.266378	0.0880169	0.392501	0.946656	2.57283	1.0212210712507978627
120	-3288.8938320840597953	-3307.3770142866583228	18.483182202598179344	1.5928489480144598645	0.343481	0.0593532	0.0553779	0.0898492	0.021721	0.00711415	0.0859303	0.182333	0.00386491	0.0433926	0.0225485	0.0108737	0.0992593	0.018222	0.390269	0.00762096	0.000536226	0.561897	0.0214548	0.58577283855515016597	0.317331	0.303922	0.134179	0.244569	0.239316	0.603315	1.05544	2.10193	1.0250987842101781933
130	-3283.778353926570162	-3302.447482289387608	18.669128362817133393	2.3641013191786428571	0.345602	0.0383603	0.0456187	0.109775	0.0178071	0.00848818	0.0685218	0.17715	0.0114987	0.0295855	0.0168086	0.0106739	0.0905809	0.0121194	0.471602	0.0123047	0.000844024	0.483211	0.0199194	0.56350824029576573881	0.288069	0.305422	0.145946	0.260563	0.333182	0.688878	1.07691	1.90103	0.97047133094664528308
140	-3294.1881410106152543	-3308.5748583565014087	14.386717345886028241	1.4561964522121666477	0.603742	0.0620402	0.0285513	0.10418	0.0156799	0.0119851	0.0430818	0.357176	0.0278615	0.0427645	0.0213197	0.0528725	0.0653777	0.0102624	0.420527	0.0115922	0.000550512	0.544093	0.0129747	0.60449623966381693663	0.279324	0.329767	0.141886	0.249023	0.218476	0.581099	1.04774	2.15268	1.4366318594708040735
150	-3281.965210278259292	-3300.1529951344709843	18.187784856211909101	1.1449600277928309033	0.448844	0.0520544	0.0378609	0.0832585	0.0138944	0.0117183	0.0515743	0.224857	0.011755	0.041796	0.0172935	0.00591532	0.0492575	0.0172898	0.554562	0.0154839	0.0124988	0.397203	0.0029627	0.52682226673976007003	0.272524	0.307318	0.136653	0.283504	0.164937	0.516372	1.02041	2.29829	1.0500786149852596729
160	-3278.9581298165398948	-3297.3884715113049424	18.430341694765296268	2.0100882697667104004	0.374626	0.0582862	0.0452436	0.0882557	0.0207819	0.00732365	0.0499647	0.182712	0.00926952	0.0295551	0.0288569	0.00663963	0.113107	0.0181346	0.570067	0.00655581	0.00557723	0.389209	0.0104566	0.58766027023605971191	0.282455	0.29679	0.141633	0.279122	0.294476	0.656082	1.07024	1.9792	1.0146217692768106922
170	-3289.4890005569195637	-3307.4602731380491605	17.971272581129252188	1.8160616640524547272	0.405484	0.0687623	0.0311336	0.131643	0.0144112	0.0177174	0.0686286	0.111694	0.0215323	0.0426506	0.0210339	0.00240821	0.132235	0.0141752	0.572468	0.00124575	0.00504212	0.39088	0.0161894	0.55715479922800570378	0.294468	0.301599	0.12074	0.283193	0.270283	0.633911	1.06462	2.03118	1.069334407012583199
180	-3292.8043215962748036	-3307.1128868446635352	14.308565248388552149	1.891690951439699786	0.565045	0.0337448	0.0638814	0.110572	0.0245312	0.00660077	0.0609298	0.13952	0.0215323	0.0312011	0.0280267	0.0134584	0.333382	0.0133318	0.543973	0.00158199	0.00174633	0.412988	0.0263792	0.57613937731570130651	0.29877	0.31376	0.13071	0.25676	0.279994	0.642979	1.06703	2.01	1.4324246429393849844
190	-3285.5368080636826562	-3303.2462412828576817	17.709433219175100049	1.6097494821279252353	0.49193	0.0590549	0.0498088	0.094344	0.014554	0.0140918	0.0396289	0.127754	0.0215323	0.0315234	0.0118412	0.0137683	0.132267	0.0192615	0.464912	0.00273575	0.00721118	0.480516	0.0253632	0.56686983200521123827	0.272525	0.312217	0.147914	0.267343	0.241789	0.60586	1.05627	2.09608	1.1020983664963939219
200	-3285.8313547728121193	-3300.8156759793982928	14.984321206586123765	6.6286250904036414511	0.375966	0.0616257	0.062092	0.0864837	0.0236465	0.0153569	0.0627504	0.154498	0.00378861	0.0480899	0.0151861	0.00318317	0.119178	0.0192586	0.5557	0.0071303	0.00336827	0.413025	0.00151773	0.57012038973580181356	0.286075	0.30099	0.13652	0.276415	0.558277	0.834836	1.07982	1.52707	1.0318450486870907046
