Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
230	-3281.2446854722206808	-3299.2242367174453648	17.979551245224605793	1.4457753838596612006	0.449528	0.0496963	0.0590729	0.0935153	0.0203777	0.00371236	0.0505392	0.142747	0.02562	0.00187939	0.0476315	0.110061	0.0230173	0.0166864	0.493961	0.00738235	0.0115159	0.466563	0.00389161	0.60224867531116199615	0.30337	0.298679	0.147984	0.249967	0.216823	0.579275	1.04707	2.15683	1.0773987049392175219
240	-3289.7195614329989439	-3306.4654022491727119	16.745840816173561905	1.8895413007742973832	0.558621	0.0661364	0.0363077	0.0699021	0.0288678	0.0113757	0.0474243	0.123423	0.0279809	0.0276018	0.0301394	0.150557	0.010456	0.00678673	0.617674	0.0058201	0.0199075	0.338109	0.0117033	0.59209750856838261335	0.296131	0.3199	0.128928	0.255041	0.279723	0.642729	1.06696	2.01059	1.1887922532049972624
250	-3284.8471043554991411	-3301.6938360541766997	16.846731698677491096	3.1126836916132578637	0.435504	0.0548168	0.0368174	0.0764713	0.00924265	0.0106413	0.0740901	0.159911	0.0182625	0.0276018	0.0439627	0.149374	0.00420704	0.0102322	0.491426	0.0113529	0.0145545	0.468015	0.00441947	0.60161445474501951125	0.281077	0.317999	0.146213	0.25471	0.397796	0.737582	1.08302	1.7816	1.1009024860519314171
260	-3286.6800977765337848	-3303.1905415373180404	16.510443760784024647	2.8047804206385782422	0.49257	0.0461246	0.0522033	0.0699597	0.0236763	0.00650438	0.0691529	0.244001	0.0165748	0.0132397	0.0390286	0.070406	0.0132879	0.0105317	0.424996	0.0142003	0.0046326	0.537229	0.0084095	0.59689740130727386713	0.299186	0.299934	0.140826	0.260054	0.373572	0.720112	1.08137	1.82495	1.1567281612209894259
270	-3281.7940990326574138	-3299.5904668634334485	17.796367830775935204	1.4964904474452311867	0.452183	0.0531719	0.0681159	0.104326	0.0163186	0.0125764	0.0500985	0.145891	0.00865881	0.00191784	0.0398161	0.12052	0.0217448	0.0102486	0.559063	0.0111565	0.0144653	0.401225	0.00384189	0.54881709960679181393	0.277688	0.299177	0.149095	0.274039	0.22478	0.587971	1.05021	2.13703	1.0953395315748921668
280	-3289.9315773912817349	-3302.133678794768457	12.202101403486690145	1.4587530485668740443	0.685286	0.0694587	0.0883465	0.104326	0.0248951	0.013308	0.0984295	0.289098	0.0212632	0.0197562	0.0349492	0.166181	0.0397805	0.0088801	0.573713	0.00233684	0.00871736	0.393139	0.0132136	0.5500351851870188824	0.293824	0.304034	0.129358	0.272784	0.21888	0.581544	1.0479	2.15167	1.6550789129143739231
290	-3284.2734988276856711	-3301.4586862477863178	17.185187420100938027	1.7851664538222664635	0.465839	0.0449258	0.0564999	0.0901914	0.0170606	0.0034076	0.0422005	0.205968	0.0114369	0.00234877	0.0411938	0.142522	0.0255418	0.00787508	0.411467	0.00849558	0.0188338	0.546551	0.00677815	0.57249517332858446128	0.308193	0.299948	0.13887	0.252989	0.266208	0.630034	1.06355	2.04021	1.1491363509148431188
300	-3286.4503831492456811	-3303.9421581402402808	17.491774990994713335	1.6601376074164460039	0.465839	0.0500403	0.0406797	0.0602186	0.0177056	0.00928199	0.0528439	0.262895	0.0248289	0.0103079	0.00993789	0.0923035	0.0257012	0.0197979	0.536618	0.00311513	0.00777213	0.43165	0.0010467	0.57187024938202402069	0.295447	0.296348	0.152544	0.255661	0.249034	0.613209	1.05859	2.07917	1.1225833511175102863
310	-3287.794313297591998	-3305.9291010577176166	18.134787760125213651	0.67223076059077513378	0.33341	0.0884408	0.0506257	0.0691206	0.0120183	0.00910069	0.0443834	0.189879	0.00811556	0.0245307	0.0293311	0.099079	0.0234175	0.019956	0.448148	0.00135288	0.00736893	0.50767	0.0155048	0.45192151691918625023	0.321495	0.269234	0.150467	0.258804	0.0682694	0.350128	0.914127	2.66748	0.9814528920192925332
320	-3283.7775096352147557	-3302.0509515272606222	18.273441892045500623	1.0274533628122444195	0.35928	0.0762155	0.080293	0.0940717	0.0198107	0.0144293	0.0639412	0.150099	0.0232826	0.00492901	0.0283787	0.100487	0.0179197	0.0240043	0.446465	0.00652537	0.0137753	0.498883	0.0103468	0.46602918212319943692	0.301233	0.299502	0.142473	0.256793	0.142399	0.484851	1.0044	2.36835	1.0331374560813788577
330	-3286.2698359246655855	-3302.7628139824291793	16.492978057763398425	3.0762550503705821114	0.538753	0.0735779	0.0392487	0.0627073	0.0140692	0.00555216	0.0646105	0.168473	0.000424077	0.0209309	0.0308717	0.100703	0.0190232	0.0217146	0.562523	0.00272588	0.00837798	0.400672	0.00398706	0.62559370218625320881	0.297092	0.298371	0.140561	0.263975	0.395076	0.735664	1.08287	1.78639	1.1389441783114933049
340	-3285.9199025796069691	-3302.57231034823144	16.652407768624247097	2.0334313351079327248	0.548834	0.0491645	0.0593444	0.0833988	0.0265596	0.00539125	0.07397	0.141568	0.00297571	0.00129973	0.0326623	0.137229	0.0288268	0.0218972	0.567254	0.00538214	0.000613937	0.404042	0.000811524	0.63064171825428694262	0.291487	0.304488	0.120251	0.283774	0.297233	0.658522	1.0708	1.97344	1.1912244031987231363
350	-3282.5058072014126083	-3300.908832079932381	18.403024878519854468	2.1069406696579111582	0.329413	0.0574015	0.0720298	0.0948764	0.0282105	0.00750089	0.0649238	0.20567	0.0155771	6.63822e-05	0.0401583	0.0768785	0.0195514	0.0223734	0.49227	0.00776301	0.000867066	0.4743	0.00242638	0.59417731444610255576	0.270703	0.304511	0.135172	0.289614	0.305715	0.665924	1.07245	1.95591	1.0122580976207757875
360	-3283.417120702414195	-3300.3614999167707538	16.944379214356491303	0.58851346698365714083	0.390173	0.0413291	0.0514793	0.0749063	0.0157361	0.00238673	0.0460427	0.20999	0.0206245	0.000237507	0.0430836	0.135348	0.0378661	0.0111429	0.54715	0.00272856	0.00548609	0.415158	0.0183351	0.45753812262084014861	0.303593	0.291633	0.139592	0.265182	0.0507479	0.305827	0.875344	2.76808	1.0692035320721013925
370	-3282.4139715458691171	-3300.2216638048439563	17.807692258974419985	0.70307737121765034871	0.333604	0.0425846	0.0553358	0.0934729	0.0286385	0.00763682	0.077766	0.20124	0.0207416	0.00485549	0.0319954	0.0987193	0.0269709	0.0168421	0.492257	0.00448532	0.0144211	0.467897	0.00409777	0.45998098085234140342	0.275331	0.303323	0.152474	0.268872	0.0748457	0.364979	0.926003	2.63417	1.0235611309776166955
380	-3284.8912094696170243	-3301.2496429226707733	16.358433453053329742	0.85240111263174422884	0.47335	0.0390678	0.0662798	0.0745417	0.0254285	0.00666808	0.0491761	0.223013	0.0417671	0.0126676	0.0607592	0.100928	0.0285584	0.0160084	0.553326	0.00826458	0.00612554	0.413837	0.00243899	0.51951334039930285869	0.2914	0.309799	0.143074	0.255727	0.10665	0.427406	0.97048	2.49546	1.2022052459304148897
390	-3284.9664513716079455	-3302.3842137641909176	17.417762392582645248	1.6568861693060286111	0.445976	0.0609997	0.0448566	0.0840118	0.0263564	0.0153271	0.0810079	0.197455	0.0134481	2.4504e-05	0.0371846	0.103847	0.0195805	0.0131444	0.436658	0.0199424	0.0019923	0.52642	0.0018432	0.56589080821374648789	0.305418	0.301667	0.143902	0.249013	0.248573	0.612745	1.05845	2.08024	1.1300742789684987688
400	-3286.2882857398126362	-3304.8170211007168291	18.528735360903997531	1.5511142393565977571	0.368329	0.0489531	0.0564867	0.0947866	0.0174786	0.00911025	0.0487098	0.190118	0.0123119	0.00377529	0.0310933	0.122178	0.0180147	0.00686996	0.507385	0.0207738	0.00319246	0.460024	0.00175505	0.48939452450102705061	0.307454	0.302105	0.120901	0.269539	0.233112	0.596849	1.05329	2.11675	1.0213448587290661074
410	-3286.7413792402589934	-3305.8617933375471694	19.120414097288378485	2.2881132409734137312	0.295202	0.0453651	0.030559	0.101145	0.0139484	0.00827477	0.0726421	0.113562	0.016589	0.025632	0.0400585	0.153302	0.0137597	0.0093803	0.462158	0.0147282	0.00755404	0.48429	0.0218899	0.60261003922634048813	0.304902	0.303705	0.143834	0.247559	0.325401	0.682526	1.07577	1.9163	0.93003873393464286945
420	-3284.2928229682761412	-3302.1324677266939034	17.839644758417513515	1.5592897907200180541	0.376829	0.0631427	0.0644288	0.100944	0.0233232	0.00558352	0.0822042	0.146148	0.0220786	0.0111233	0.0277927	0.130241	0.0362716	0.00923467	0.462191	0.00709554	0.0115554	0.501364	0.00855919	0.55541249021637995043	0.290367	0.304365	0.126299	0.278969	0.234338	0.598137	1.05372	2.1138	1.0901114681368628823
430	-3280.8871073961881848	-3299.3187178265338844	18.431610430345308771	1.3499608165940764071	0.37928	0.0368818	0.0541625	0.0938149	0.0268526	0.00408114	0.0683849	0.186319	0.0227669	0.00573747	0.0338555	0.0975527	0.0222304	0.0099425	0.572408	0.00580894	0.0130203	0.397175	0.00164524	0.56829721962013846071	0.283861	0.298029	0.130321	0.287788	0.201187	0.561515	1.04024	2.19705	1.0319196961810035429
440	-3283.7557244109907515	-3301.5933915724758663	17.837667161485015299	1.2153515615209216083	0.403035	0.0586777	0.0473281	0.0838701	0.0137824	0.00591547	0.0503584	0.247902	0.028474	0.00921517	0.0416388	0.0710873	0.0269681	0.00930345	0.533785	0.00609021	0.00343456	0.423868	0.0235183	0.54300142524826244816	0.288281	0.311347	0.140588	0.259784	0.177824	0.533124	1.02819	2.26087	1.0882530310832989606
450	-3287.7047561010103891	-3304.2189476169537556	16.514191515943107191	0.58822052148031034324	0.393061	0.0522447	0.0557453	0.0814593	0.0127936	0.00933814	0.09237	0.19704	0.0218598	0.0122051	0.0465814	0.131608	0.00579017	0.0121053	0.380543	0.00632769	0.0258841	0.570265	0.00487511	0.43570905747806709662	0.290886	0.317223	0.141288	0.250603	0.050688	0.305661	0.875188	2.76846	1.1120955342535383537
460	-3286.3201762780167883	-3304.1779158813824324	17.857739603365807568	0.78289909055113071634	0.33826	0.0389454	0.0712759	0.115097	0.013762	0.0080726	0.0495867	0.205274	0.00818092	0.00678299	0.0303677	0.118283	0.034821	0.0106698	0.457329	0.00801027	0.0141283	0.506025	0.00383803	0.54133113554647738219	0.284046	0.324393	0.130422	0.26114	0.091915	0.400157	0.952101	2.55583	1.0387090799361125004
470	-3280.9381938815454305	-3296.7123935457625521	15.774199664216807193	0.65976089255335812478	0.4665	0.0441635	0.0727153	0.0812456	0.0273804	0.0078852	0.0623573	0.23158	0.0234302	0.00872204	0.0209155	0.12995	0.0365714	0.0131667	0.476958	0.00453893	0.00768273	0.496327	0.00132686	0.44347822413666626584	0.285571	0.304698	0.135261	0.27447	0.0656228	0.343909	0.908993	2.68148	1.2134166907146619607
480	-3284.7709463148767099	-3300.0215951173390749	15.250648802462233533	0.64152001137313785506	0.447456	0.0442542	0.0411285	0.111746	0.0163221	0.0126699	0.0762928	0.254987	0.0541109	0.0107822	0.0530378	0.113261	0.0234022	0.0125534	0.494511	0.0085317	0.0104765	0.473489	0.000439015	0.4338488291519588258	0.295529	0.307373	0.132917	0.264182	0.0617691	0.33458	0.901108	2.70254	1.2594500329216677947
490	-3288.7379119657216506	-3306.6488401482729387	17.910928182551273835	0.73290601558147061567	0.325113	0.041575	0.065312	0.0944764	0.0142856	0.0157127	0.0467035	0.197358	0.0105678	0.0107475	0.0467048	0.126051	0.0268144	0.0141977	0.408558	0.0109115	0.0102596	0.542464	0.0136088	0.3398449593217812148	0.293002	0.29546	0.131678	0.279861	0.0812263	0.378651	0.936478	2.60365	1.0214215202107224112
500	-3281.2971430856200641	-3298.2178422527640578	16.920699167143741448	0.61543312123688531656	0.387272	0.0593761	0.0584002	0.07994	0.0199808	0.0040234	0.0721335	0.210986	0.0262488	0.000513021	0.0600949	0.0842219	0.0194751	0.0167695	0.496635	0.00345139	0.00519899	0.476458	0.00148708	0.47788432197855790218	0.304639	0.285314	0.148309	0.261738	0.0563059	0.320743	0.888993	2.73396	1.0826660881039411599
510	-3283.8421246755165157	-3301.2656442977536244	17.423519622237240156	0.53792811881524948969	0.379629	0.0494736	0.091573	0.086345	0.0144596	0.00684994	0.0519394	0.165452	0.0221644	0.0113407	0.0312951	0.0660479	0.0206727	0.0179112	0.408033	0.00368173	0.0120735	0.552269	0.00603175	0.37576501500553355362	0.293015	0.286528	0.15489	0.265567	0.0406149	0.275957	0.846018	2.83741	0.99724272749105136171
520	-3284.8752659525002855	-3301.721035724831836	16.84576977233142614	0.64354591665933247313	0.421458	0.0691378	0.0741509	0.112712	0.0177535	0.0128032	0.0364521	0.220937	0.00615845	0.014347	0.0191835	0.0753166	0.0202502	0.0166604	0.471218	0.00108284	0.00959447	0.483368	0.0180766	0.39719271810013845325	0.290679	0.300181	0.128109	0.281031	0.0621959	0.33563	0.902007	2.70017	1.1006602369678719633
530	-3283.0092455388612507	-3298.9289063694163815	15.919660830555059761	0.62577772128864317391	0.409652	0.0789603	0.0424474	0.0870128	0.021825	0.00912493	0.0592188	0.212331	0.0161763	0.016304	0.0305315	0.161813	0.0413586	0.0132513	0.528018	0.00506027	0.00572103	0.444038	0.00391135	0.42491866985840998083	0.299809	0.285316	0.129809	0.285066	0.0584645	0.326301	0.893921	2.72131	1.1867564109840218478
540	-3288.8860349930973825	-3306.8169192484606356	17.930884255363491064	1.5961822210635314701	0.409652	0.050839	0.0525988	0.067297	0.0135539	0.0234898	0.0678041	0.142409	0.0168998	0.00461476	0.0536243	0.152588	0.0248863	0.00364315	0.471977	0.00889494	0.0210077	0.477287	0.0171896	0.58265984722080088609	0.302251	0.298294	0.129466	0.269989	0.239805	0.603821	1.0556	2.10077	1.0802568054567553979
550	-3281.7924182085275788	-3298.3405515307158566	16.548133322188149918	1.2605016450431778541	0.525996	0.0757336	0.065617	0.101151	0.0151164	0.0104335	0.0644149	0.171242	0.0235692	0.00364112	0.0401228	0.106443	0.0151511	0.012001	0.481167	0.0079194	0.00251118	0.483481	0.0129209	0.54358362766425305512	0.307953	0.303374	0.145713	0.242961	0.185846	0.543144	1.0326	2.23841	1.2186317803186659248
560	-3290.5028881568950965	-3307.3715204168461241	16.868632259951176877	1.1878069381344888988	0.359524	0.0329644	0.0633697	0.0979308	0.0272539	0.0124771	0.073336	0.256599	0.0262926	0.0283279	0.0290423	0.139805	0.0371399	0.0165353	0.407342	0.00224432	0.00417407	0.560761	0.00894357	0.55763916132661017766	0.288476	0.324426	0.131825	0.255273	0.172836	0.52674	1.02528	2.27514	1.184063377603090883
570	-3296.6741517117698095	-3313.7860711207272288	17.111919408957497524	0.95083448517467672456	0.44505	0.0486761	0.0790976	0.116602	0.0221859	0.0180729	0.0639314	0.213276	0.0186485	0.008339	0.00486752	0.0859404	0.0165218	0.0139315	0.500658	0.00196716	0.0255385	0.446919	0.0109862	0.5447718183757821464	0.281795	0.303924	0.116755	0.297525	0.127043	0.461458	0.991351	2.42015	1.1412091436427986846
580	-3287.3833647616888811	-3305.9733036033803728	18.589938841691413529	2.1366244118519079898	0.354209	0.0545586	0.0515025	0.0917902	0.0115642	0.00848729	0.0687656	0.159124	0.00971308	0.0165549	0.0138362	0.131819	0.020004	0.00897148	0.526595	0.00317855	0.0299421	0.422442	0.0088708	0.58755860336605891803	0.272327	0.298407	0.142709	0.286557	0.309056	0.668798	1.07306	1.94909	0.99192811173256334456
590	-3289.0277010190516194	-3305.1326554126899282	16.104954393638159615	3.4724664429333542692	0.432629	0.0441981	0.0560259	0.123026	0.0148181	0.0247097	0.0818023	0.176959	0.00927427	0.00420154	0.0374854	0.128557	0.0147002	0.0142422	0.523345	0.00955654	0.00778556	0.433857	0.0112133	0.59263218017545726823	0.288856	0.312267	0.145611	0.253265	0.422804	0.754733	1.08403	1.73844	1.1483863411129597853
600	-3288.8773863270284892	-3306.2898073368860423	17.412421009857087739	1.1587185953013945383	0.494952	0.0783143	0.0728963	0.0776371	0.00783026	0.0123198	0.0372718	0.144017	0.0242435	0.00929041	0.013239	0.143719	0.0125995	0.0108674	0.533517	0.00523371	0.00363045	0.424333	0.0224175	0.54821533511968767449	0.275586	0.308751	0.127922	0.28774	0.167492	0.519761	1.02202	2.29073	1.1283307777021462925
610	-3283.0349817336582419	-3300.0786723950159285	17.043690661357711491	2.1786428658440155637	0.444517	0.0714358	0.0661491	0.0893344	0.0154113	0.0123198	0.0466613	0.174943	0.0165411	0.00648384	0.0129833	0.170141	0.0172571	0.0196495	0.526252	0.00318395	0.00499358	0.438894	0.00702774	0.62700988760394804622	0.290455	0.305839	0.137113	0.266594	0.313706	0.672758	1.07388	1.93966	1.1441775083895810994
620	-3282.9179121878642036	-3299.1055636270712057	16.18765143920699856	0.69659972741528530804	0.409598	0.0536983	0.0729556	0.0893344	0.0236659	0.0141006	0.0681479	0.176324	0.0275078	0.00648384	0.0512585	0.165242	0.0253573	0.0105214	0.496424	0.00776172	0.0126323	0.462007	0.0106539	0.45376914861801548318	0.307075	0.295569	0.129401	0.267955	0.0734621	0.361921	0.923602	2.64101	1.1836739680722121459
630	-3286.4098545406905032	-3302.498718530840506	16.088863990149931738	2.1542362055838979451	0.467298	0.0609387	0.0638623	0.0943351	0.0329857	0.00517072	0.0581189	0.242774	0.0240293	0.00310539	0.0636368	0.0996372	0.0251557	0.013225	0.55694	0.00185539	0.0125776	0.394581	0.0208206	0.57100232292720787264	0.306787	0.300382	0.143767	0.249064	0.311016	0.670473	1.07341	1.9451	1.2410477168767020117
