Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
120	-3280.9548588981169814	-3299.6743734720926113	18.719514573975612137	2.3371371008248336132	0.337616	0.0591003	0.0401224	0.103969	0.0171428	0.0103297	0.0586458	0.154069	0.0241423	0.0840521	0.0325013	0.0343822	0.011044	0.0204335	0.461598	0.00701509	0.00317168	0.501664	0.00611832	0.55881848885919471748	0.309561	0.286859	0.136981	0.266599	0.330451	0.686662	1.07652	1.90637	0.9671168016013468316
130	-3284.5067637903262039	-3301.4461484076618945	16.939384617335825567	0.90068552926483036458	0.403563	0.067888	0.0599741	0.0928168	0.0197233	0.00879297	0.054578	0.273291	0.0151437	0.0897	0.020477	0.0432814	0.00255028	0.0156246	0.585277	0.00112114	0.00717946	0.388433	0.00236505	0.48347151462566018143	0.291011	0.283864	0.137799	0.287326	0.116737	0.444721	0.981375	2.45717	1.1517790914082133291
140	-3279.8751855919772424	-3299.1491143961752641	19.273928804197939968	0.77596473902851481608	0.314401	0.052264	0.0499185	0.0785862	0.0077952	0.0143357	0.0445474	0.18437	0.00165126	0.0926807	0.00985246	0.0316219	0.0135263	0.015534	0.453814	0.00807029	0.00796056	0.513197	0.00142426	0.49610252745271382624	0.311226	0.284668	0.142666	0.261441	0.090435	0.397274	0.950066	2.56222	0.89555005779697260948
150	-3284.8455713756561636	-3302.5770402640591783	17.731468888403178141	1.4568223933905202205	0.362366	0.0446463	0.0690642	0.0785862	0.00792823	0.0118713	0.0660053	0.240371	0.009278	0.143621	0.0137364	0.0394528	0.0152266	0.00755408	0.550419	0.0053354	0.0209167	0.40223	0.0135443	0.54821671042252650974	0.290785	0.312233	0.133524	0.263458	0.218575	0.581208	1.04778	2.15244	1.1021532252577330713
160	-3289.3270504538922978	-3307.1149110865103466	17.787860632618126999	1.2101755893319123825	0.401531	0.0622248	0.059415	0.0556653	0.0154266	0.018148	0.0513641	0.14234	0.00577686	0.193295	0.0368226	0.035806	0.0152266	0.00827099	0.497769	0.00673391	0.0145166	0.450859	0.0218503	0.5178172035191224154	0.297069	0.293118	0.119229	0.290584	0.176892	0.531941	1.02765	2.26351	1.0930417103199505657
170	-3279.252912883719091	-3297.9209856418924574	18.668072758173302361	1.7473953142502975933	0.409751	0.0606998	0.0524037	0.0747653	0.0155846	0.00916408	0.0682629	0.19199	0.00915441	0.0460875	0.0106291	0.035806	0.0179172	0.0132583	0.502849	0.00723988	0.0129025	0.457394	0.00635619	0.56196438901517820064	0.293173	0.28171	0.146369	0.278749	0.261137	0.62515	1.06216	2.05155	1.0022157860955631659
180	-3281.949906727717007	-3300.646734233447205	18.696827505730368557	1.0128134388824148182	0.308889	0.0460054	0.0764076	0.0926927	0.0110213	0.0058871	0.0504999	0.204546	0.00124254	0.109178	0.0182262	0.0448752	0.0199626	0.0161993	0.476972	0.00585815	0.0127796	0.469726	0.0184653	0.48503049221250665868	0.282576	0.298327	0.136945	0.282152	0.139503	0.48057	1.00209	2.37784	0.98943385326075794506
190	-3288.3445925034602624	-3308.6419357976419633	20.297343294181587225	1.5593325754510176662	0.305627	0.0687517	0.0585976	0.081315	0.00935962	0.00906564	0.0363174	0.132726	0.00493359	0.069807	0.008204	0.0207254	0.0389105	0.0193166	0.462081	0.00171842	0.0111967	0.48864	0.0170467	0.55145594021254329409	0.284033	0.315609	0.147176	0.253182	0.234344	0.598143	1.05372	2.11379	0.84434085003455028318
200	-3282.8336753190606032	-3300.9412240156434564	18.107548696582988157	1.1136543458479033486	0.375582	0.0634832	0.0653325	0.0730098	0.00741353	0.0150224	0.0708541	0.204497	0.00668275	0.0783313	0.0158399	0.0528725	0.0273613	0.0184712	0.543084	0.0037154	0.00506212	0.418115	0.0115525	0.54251348436501278805	0.286175	0.311776	0.12521	0.276839	0.159057	0.508437	1.01655	2.31596	1.0562816392792739872
210	-3289.4374551199653069	-3303.5776558043421574	14.140200684376859286	1.8973623727686597107	0.595317	0.0589034	0.0653325	0.0911545	0.0240406	0.0157468	0.0883176	0.276963	0.00664	0.158055	0.0119771	0.0395352	0.0170256	0.00726499	0.513679	0.00390094	0.00563254	0.440914	0.0286083	0.5837487318056975294	0.303869	0.305969	0.115022	0.27514	0.280707	0.643636	1.0672	2.00846	1.4490087464770609049
220	-3283.1405029600100534	-3299.9293802736083308	16.78887731359820279	0.71254068963141903303	0.394512	0.0551276	0.0755842	0.0905902	0.0312172	0.012016	0.0715933	0.168675	0.00238529	0.139234	0.0292391	0.0327599	0.0251964	0.0106388	0.474417	0.0106539	0.00923983	0.488403	0.00664828	0.43743581458657543326	0.291473	0.319202	0.124836	0.264489	0.0768687	0.369388	0.929428	2.62432	1.1281306541983335823
230	-3286.7717361452205296	-3300.3117493949221171	13.540013249701893017	1.0062375795207405549	0.671302	0.068299	0.0622843	0.0970321	0.0270622	0.00962347	0.0844452	0.211363	0.0120177	0.174702	0.0378678	0.0456927	0.00278404	0.0120239	0.583772	0.00358799	0.00526018	0.380106	0.0152505	0.53202599287759888558	0.281474	0.29857	0.136741	0.283215	0.138197	0.478619	1.00103	2.38216	1.5044760099267091569
240	-3283.418316074793438	-3301.7488126809162168	18.330496606122633096	1.7141699128556597831	0.374339	0.0602288	0.050223	0.114959	0.0128732	0.0111808	0.0483302	0.178677	0.000356916	0.117359	0.0242504	0.0313545	0.0129565	0.0218188	0.432948	0.0068157	0.0138254	0.522072	0.00252057	0.57898647649267842574	0.274861	0.304212	0.129343	0.291584	0.256593	0.620714	1.06086	2.06183	1.037088511577084482
250	-3280.2365265269636438	-3297.8586052195992124	17.622078692635589903	2.636222659935624435	0.439727	0.0599027	0.0634768	0.0731181	0.0130193	0.0110942	0.0571775	0.167747	0.000503952	0.0860998	0.0228011	0.0419912	0.0206216	0.00917364	0.480347	0.0137749	0.0117957	0.484431	0.000478005	0.54763805078626137668	0.298794	0.294509	0.142582	0.264116	0.359003	0.709165	1.08002	1.85181	1.0572803256540863615
260	-3287.5725826986054017	-3302.8541770415295105	15.281594342924005758	1.5944653975377198751	0.5591	0.048306	0.0621637	0.113544	0.0157535	0.010935	0.0893507	0.144172	0.00175766	0.226919	0.0115797	0.0486234	0.0130185	0.0143664	0.422206	0.014486	0.00753277	0.541278	0.000130717	0.5584807371759058503	0.317466	0.29407	0.136611	0.251853	0.239553	0.603561	1.05552	2.10137	1.3452229035243878918
270	-3287.7330180145622762	-3308.2071993568929429	20.474181342330481925	1.1309206494968360168	0.263304	0.054786	0.0335459	0.0568378	0.0159379	0.0189297	0.0412612	0.165545	0.0125064	0.103022	0.0124764	0.0325021	0.0100019	0.0252253	0.518499	0.00954247	0.0126399	0.433093	0.00100033	0.53778840479283995801	0.299639	0.286319	0.129995	0.284047	0.162311	0.512852	1.01871	2.30613	0.82065624412010518274
280	-3285.1010422495596686	-3304.7241676896469471	19.623125440087196836	1.0535455794860533185	0.287031	0.0402555	0.0660429	0.0783503	0.0222859	0.00762999	0.0817288	0.165489	0.0124932	0.0658207	0.0217605	0.0290935	0.0224302	0.0267134	0.520536	0.0125179	0.00395481	0.432937	0.00334089	0.43680564975746150047	0.2952	0.291132	0.128396	0.285272	0.147512	0.492275	1.00833	2.35188	0.90041114474079364527
290	-3282.6849718354451397	-3300.6015418798942846	17.916570044448928201	1.2861790713808565201	0.485619	0.0533708	0.0456116	0.0943887	0.0128296	0.00489064	0.0461531	0.205813	0.0194636	0.0499402	0.00796696	0.0408864	0.0154772	0.0150264	0.423458	0.0123257	0.0041125	0.539018	0.00605924	0.54210683824896355176	0.286066	0.295636	0.142727	0.275571	0.190324	0.548611	1.03494	2.22613	1.0824106028613360575
300	-3284.8030375127646039	-3302.5610966227659446	17.758059110001113368	0.77413975360964482064	0.408261	0.0700267	0.0316359	0.0945547	0.0125274	0.0105333	0.0595992	0.234968	0.0214634	0.038255	0.0133316	0.0416914	0.0098772	0.0100617	0.498232	0.0083402	0.00568857	0.471798	0.00587897	0.51430023120844714501	0.27568	0.317678	0.148667	0.257975	0.0900453	0.39651	0.949523	2.56392	1.0467255755263766837
310	-3282.7757990185832568	-3301.7839793553539494	19.008180336771040686	2.2919756911664799226	0.387146	0.0571396	0.0390171	0.0905773	0.0180675	0.0101743	0.0690492	0.126689	0.0108619	0.0657319	0.0259658	0.0275986	0.0130088	0.011582	0.494695	0.0115795	0.00769417	0.457481	0.016968	0.54719775458747976771	0.301676	0.299627	0.134434	0.264262	0.325803	0.682857	1.07583	1.91551	0.94102725024890698791
320	-3282.3725333343140846	-3300.9743795599865734	18.601846225672812096	1.4616301259247952427	0.386803	0.0465746	0.0518373	0.0750997	0.0125454	0.011517	0.050802	0.129584	0.000523863	0.176431	0.0221857	0.0344445	0.0167385	0.025324	0.539042	0.00299448	0.00232732	0.416147	0.0141651	0.58042674733673627063	0.314073	0.284243	0.134949	0.266735	0.219334	0.582043	1.04809	2.15054	1.0150870341783060358
330	-3283.3844675232217014	-3299.0582481429446489	15.673780619723189034	2.159842185142200055	0.54381	0.0790835	0.0518373	0.0920913	0.0150501	0.0115713	0.051791	0.170868	0.00261172	0.182744	0.00238183	0.0423644	0.0360353	0.00876055	0.510103	0.00412949	0.0117662	0.462555	0.00268584	0.58732306388246535711	0.294653	0.293509	0.139106	0.272732	0.311637	0.671001	1.07352	1.94384	1.282239227102811574
340	-3283.2506001843435115	-3298.893361732988069	15.642761548644669389	1.0045055881075481974	0.504746	0.0771564	0.0616821	0.0838026	0.0168202	0.00845326	0.0709293	0.237534	0.012968	0.141619	0.0149876	0.0309394	0.0323926	0.00595384	0.493768	0.00885056	0.00581405	0.48338	0.00223427	0.55204287510015181972	0.315368	0.305877	0.134592	0.244163	0.137852	0.478102	1.00074	2.3833	1.2940300540380667016
350	-3283.1979510020819362	-3302.8843156538446237	19.686364651762787048	1.3573487925396203746	0.298632	0.0789224	0.0386089	0.0669246	0.0159783	0.00667085	0.043263	0.159505	0.0238249	0.0714301	0.024339	0.0547684	0.0236478	0.0188457	0.48745	0.00497793	0.00745393	0.467667	0.0136052	0.51261678003563226902	0.278323	0.305356	0.1336	0.28272	0.202421	0.562951	1.04082	2.19381	0.90651592517365131574
360	-3280.0567185989525569	-3299.090918318884178	19.034199719931880423	1.1453620307114142918	0.343092	0.0651137	0.030294	0.0895211	0.0155248	0.00551512	0.0411467	0.185276	0.0224272	0.0868861	0.0260588	0.033375	0.0212278	0.0173596	0.551306	0.00550004	0.00785755	0.405956	0.0120208	0.53764414884071265455	0.271863	0.319749	0.135408	0.27298	0.165012	0.516471	1.02045	2.29806	0.96545875397560998454
370	-3284.1250765882746236	-3302.4628099006117736	18.337733312337260116	0.70767024390614019502	0.356273	0.0350062	0.0645071	0.0723764	0.0143304	0.00891387	0.066541	0.193768	0.0209716	0.0685527	0.0209685	0.0324676	0.0171956	0.0176705	0.486849	0.00484525	0.00935274	0.47813	0.00315251	0.52174751136571617671	0.291066	0.316509	0.121997	0.270428	0.0758273	0.367127	0.927678	2.62937	0.97187257870705689999
380	-3296.5452873881263258	-3314.2093444383740461	17.664057050247656377	3.4848937816434331083	0.33782	0.0258376	0.0472828	0.0989614	0.015376	0.0173156	0.0536626	0.168529	0.0159409	0.111848	0.0202752	0.0615003	0.0171956	0.0336882	0.525287	0.00457607	0.00703192	0.427395	0.00202161	0.57615893737748369308	0.310621	0.29079	0.122938	0.275651	0.423612	0.755273	1.08405	1.73706	0.99154575944288469991
390	-3288.9439100221256922	-3305.8596677853524852	16.915757763226537236	1.0002010620070935776	0.462846	0.0432393	0.0668011	0.112966	0.0396523	0.0034908	0.0581089	0.127017	0.00342729	0.133506	0.0295853	0.0684653	0.0171956	0.0184452	0.54815	0.00548126	0.00986437	0.417937	0.000122247	0.53138974839261055028	0.292524	0.294549	0.14682	0.266106	0.136994	0.476812	1.00003	2.38616	1.1663001066865867905
400	-3283.7779719250038397	-3300.3599104300215004	16.581938505017784991	0.7444041886605401448	0.437202	0.0860574	0.0835744	0.0944187	0.0103097	0.00998832	0.0489564	0.163226	0.00762459	0.122457	0.0295853	0.0494883	0.01437	0.019207	0.4379	0.00477577	0.00604492	0.531945	0.000127411	0.46157680967848457865	0.285411	0.309347	0.147683	0.257559	0.0836871	0.383749	0.940274	2.59229	1.1572577294426746874
410	-3285.4347647083282027	-3304.9992925005417419	19.564527792213709745	2.1444335853414466797	0.271314	0.0595698	0.0508651	0.0741566	0.00944473	0.00912991	0.0411501	0.224177	0.00193211	0.0952639	0.0195792	0.0155152	0.0219345	0.0291903	0.484524	0.00471369	0.00668854	0.473558	0.0013258	0.56057345568151828452	0.294644	0.30369	0.127831	0.273835	0.309927	0.669543	1.07322	1.94731	0.89403259494561393428
420	-3293.4692068324866341	-3308.4286034201354596	14.959396587648802424	0.87057572019175122335	0.569498	0.0540804	0.0468535	0.0842498	0.0257943	0.013066	0.0806357	0.191708	0.003919	0.170618	0.0263498	0.0422581	0.0361194	0.0299802	0.497635	0.00553198	0.0135978	0.447618	0.0056363	0.49572598493294744992	0.298894	0.293532	0.138242	0.269332	0.110464	0.434069	0.974744	2.48072	1.3451493472876208113
430	-3281.4736721420067624	-3299.9050010007313176	18.431328858724850051	1.2485505115503514606	0.312633	0.0595921	0.0561319	0.102456	0.0165874	0.00528234	0.0534651	0.223527	0.00981152	0.0945572	0.0256838	0.0428139	0.0274359	0.0254512	0.443756	0.00366342	0.00474699	0.519416	0.0029663	0.48734869695148935742	0.278519	0.30367	0.139236	0.278575	0.183741	0.540544	1.03147	2.24424	1.029977169644506807
440	-3285.660665227725076	-3304.5923620113758261	18.931696783650675542	2.1874807383670331618	0.318621	0.048849	0.0513881	0.071893	0.0129654	0.0151012	0.0629128	0.128384	0.0014284	0.167589	0.00627804	0.0420237	0.0274359	0.00855651	0.540831	0.00262447	0.00536105	0.421312	0.0213159	0.61278553419081371878	0.312109	0.303025	0.131163	0.253703	0.314672	0.673576	1.07404	1.93771	0.95486930106398348883
450	-3285.8467298003088217	-3301.1628766328135498	15.316146832504824005	7.5300562395503085611	0.305667	0.0570491	0.0513881	0.0835819	0.0123787	0.00965966	0.0535627	0.209937	0.00052884	0.0914802	0.0116048	0.040243	0.0121963	0.0167447	0.544444	0.00879173	0.00422376	0.40602	0.0197755	0.63634663398709223614	0.284664	0.290571	0.14593	0.278834	0.582099	0.847053	1.07772	1.49313	0.93927690855463341624
460	-3283.9655634937694231	-3302.2006020775156685	18.235038583746238317	3.0394941588988473313	0.331597	0.0751525	0.0513881	0.0872026	0.0213045	0.00776575	0.0728658	0.110819	0.00704306	0.136998	0.0185367	0.0317791	0.0149668	0.0234646	0.460108	0.00559152	0.00221591	0.488388	0.020232	0.58548532481010040485	0.303302	0.309595	0.132626	0.254477	0.392294	0.733691	1.0827	1.79131	0.96741952250744589481
470	-3280.0594533051016697	-3296.9770957847977115	16.917642479695842894	1.8787226328895851868	0.430958	0.0640267	0.0453936	0.0889144	0.022297	0.00889069	0.0577156	0.255604	0.0151264	0.102827	0.01215	0.0400535	0.0281294	0.0103382	0.524254	0.00631053	0.00373427	0.437877	0.0174856	0.57687093609184814103	0.301866	0.296839	0.133025	0.268269	0.278355	0.641465	1.06664	2.01354	1.1720869651506067299
480	-3288.6541857236666146	-3302.6962533573578185	14.042067633691193151	2.5626696902870755856	0.720042	0.0493053	0.0567875	0.15765	0.0181523	0.00702198	0.0500485	0.134043	0.00120571	0.153186	0.0112532	0.0496318	0.0119338	0.0134139	0.538999	0.000966905	0.00643525	0.427545	0.0126397	0.61141622007983176257	0.294705	0.301081	0.141429	0.262785	0.352319	0.704026	1.07931	1.86435	1.4202602959041283892
490	-3291.3377589282526969	-3308.5418717343400203	17.204112806087316301	1.2739662575717378701	0.473109	0.0463517	0.0483857	0.088885	0.0181523	0.00572101	0.0629059	0.142861	0.00163303	0.182511	0.00227686	0.0656785	0.0149056	0.00924603	0.562024	0.00363825	0.02459	0.381401	0.0191009	0.60599556597077897102	0.297784	0.279845	0.138795	0.283576	0.188202	0.546031	1.03384	2.23192	1.1533765077570312663
500	-3290.5710896489499646	-3307.101248268292693	16.530158619342753212	1.4300535264881382158	0.492679	0.0466507	0.0328265	0.141167	0.0176167	0.0140169	0.114129	0.138822	0.0170043	0.157785	0.00166198	0.0370565	0.0109704	0.00699572	0.553108	0.00661908	0.0163204	0.407255	0.00970229	0.58852939328223052851	0.297721	0.297544	0.134948	0.269786	0.214312	0.576484	1.04604	2.16317	1.2223857417912651346
510	-3287.9524071088562778	-3304.1456614430539958	16.193254334197799693	2.0775575104267018922	0.508815	0.0639314	0.0533581	0.0784267	0.0126208	0.0217189	0.0844275	0.184942	0.03475	0.143118	0.0171342	0.00893598	0.0226448	0.00995938	0.481798	0.0116442	0.0112778	0.478311	0.00700938	0.56972550140871947022	0.275529	0.3154	0.128545	0.280526	0.30236	0.663015	1.07181	1.96281	1.2348229919975985958
520	-3285.1235748718345349	-3302.6662713531045483	17.542696481269949516	1.8599574249667853998	0.41501	0.0701743	0.0528763	0.0662277	0.0217304	0.00933015	0.0511859	0.199528	0.0196857	0.102574	0.0297913	0.0324185	0.0398567	0.00952355	0.395063	0.0112822	0.0139372	0.566714	0.00348093	0.55551716773132842064	0.295678	0.300716	0.143305	0.2603	0.275965	0.639245	1.06605	2.01874	1.1103888185140666778
530	-3281.350450723630729	-3299.9014279401271779	18.550977216496303157	1.657537914762561515	0.363094	0.0555017	0.0662077	0.0849576	0.0201961	0.0110778	0.0793332	0.139637	0.00442725	0.108893	0.0139008	0.0351764	0.0343324	0.0255354	0.478235	0.00707415	0.00688453	0.479265	0.00300548	0.54547943763051609523	0.294386	0.305307	0.124236	0.276071	0.248665	0.612838	1.05847	2.08002	1.0167348979913528595
540	-3283.825644929997452	-3301.4129674735390836	17.587322543541734632	1.3592811972436038559	0.510099	0.0596817	0.0491594	0.0919811	0.02037	0.0152317	0.0398096	0.165044	0.00286916	0.088442	0.015011	0.0399561	0.018783	0.0113871	0.550511	0.00216975	0.00877505	0.406709	0.020448	0.5701858444743795884	0.28163	0.317603	0.141473	0.259294	0.202743	0.563325	1.04097	2.19297	1.1164373943438259396
550	-3290.4284177659201305	-3308.4207876869463689	17.992369921026103441	1.0065973115201154453	0.36178	0.0735856	0.0556394	0.0850778	0.0107539	0.0101491	0.08422	0.224178	0.0391227	0.0465107	0.019839	0.0360575	0.0123612	0.0164289	0.433654	0.00330761	0.0165	0.517125	0.0129843	0.56119401455540396384	0.29461	0.326457	0.131713	0.24722	0.138268	0.478726	1.00108	2.38192	1.0592757407160477978
560	-3285.9109559457301657	-3303.299066722027419	17.388110776297185822	0.76418983480951319098	0.397925	0.0814422	0.0627371	0.0829599	0.0166743	0.00828115	0.0534949	0.084651	0.0067221	0.221262	0.00958728	0.0426279	0.0130664	0.0098044	0.44925	0.0106482	0.00696617	0.509079	0.0142527	0.44167797140181574989	0.292488	0.30119	0.142742	0.26358	0.0879193	0.392307	0.946516	2.57326	1.081431287268943775
570	-3285.0498100355757742	-3302.9319207748881126	17.88211073931205064	1.4969665861027172671	0.449379	0.0583472	0.0532809	0.0889351	0.0125979	0.00488371	0.0604853	0.128176	0.0196307	0.117288	0.0296297	0.0214464	0.0426805	0.0177095	0.568741	0.00399452	0.00893531	0.39518	0.00544041	0.53700349347345444073	0.304603	0.304125	0.126288	0.264984	0.224854	0.588051	1.05024	2.13685	1.0867601533859558849
