Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-3289.290248985834296	-3301.7504160559296906	12.460167070094957609	1.139134941124804179	0.70357	0.0756023	0.0571133	0.103936	0.0160456	0.00955762	0.0636425	0.324267	0.00214431	0.180333	0.041486	0.0287234	0.0161017	0.0128304	0.544531	0.00536128	0.0132738	0.423135	0.000868025	0.54854279559358176677	0.288989	0.296999	0.128631	0.285381	0.16385	0.514919	1.01971	2.30152	1.6225221542692875865
10	-3293.3828771265139039	-3306.4690926370308262	13.086215510516970184	3.2840635744196107204	0.542167	0.0372975	0.0308381	0.0999847	0.0204058	0.0072082	0.057459	0.389046	0.00914542	0.162173	0.0220645	0.0461673	0.0403514	0.0102136	0.605388	0.00200656	0.00827693	0.365008	0.00910621	0.62204197666185079285	0.292033	0.295261	0.137064	0.275641	0.41011	0.746135	1.0836	1.76016	1.4643073178807597401
20	-3289.0949490644879916	-3304.3466713448119663	15.251722280323663838	1.327257537032014767	0.667303	0.0638248	0.0464324	0.0921266	0.019111	0.0187037	0.0597422	0.193965	0.0125983	0.0788952	0.00975677	0.0244582	0.0627136	0.00907374	0.533073	0.00797066	0.0017106	0.44015	0.00802161	0.57249520455806268693	0.283432	0.292076	0.125209	0.299283	0.197362	0.557028	1.03843	2.20718	1.349630747841028322
30	-3285.2665687156877539	-3302.3381456827532929	17.07157696706540051	2.5277341300400864021	0.45491	0.053273	0.0474026	0.0963416	0.022942	0.00851736	0.0398495	0.143763	0.0192735	0.154881	0.00638416	0.0257477	0.0463552	0.00914149	0.551363	0.00868777	0.0184292	0.408331	0.0040469	0.62194383282491316756	0.277884	0.334319	0.125859	0.261938	0.34907	0.7015	1.07894	1.87049	1.1196408699385034247
40	-3289.9550108892613025	-3308.2504120808011976	18.295401191539887975	2.0615246136949827438	0.42544	0.0588235	0.0638387	0.0855671	0.0210059	0.00801613	0.0488945	0.126801	0.0233155	0.135132	0.00134843	0.0116459	0.0156307	0.00953298	0.483362	0.00560257	0.0127227	0.452137	0.0366421	0.59867116117316343527	0.269269	0.322623	0.125922	0.282186	0.30051	0.661401	1.07146	1.96663	1.0254597431073910752
50	-3287.2624060166049276	-3304.358145527184206	17.095739510578948028	1.1638879157581494272	0.42544	0.0672937	0.0739404	0.102512	0.0151643	0.0130448	0.0630287	0.203567	0.0393459	0.0771024	0.0243555	0.00986025	0.0456	0.00918645	0.507079	0.00752285	0.00483557	0.446448	0.0249283	0.51533175394073771347	0.299706	0.287855	0.129695	0.282744	0.168448	0.52102	1.02261	2.28792	1.1602550866918468486
60	-3287.3338181532790259	-3305.6854572392721821	18.351639085993031841	3.05026665587359469	0.317692	0.0695118	0.0578465	0.0821983	0.0119507	0.00992317	0.050158	0.193845	0.00651611	0.0758763	0.00647904	0.0229039	0.0500748	0.0190948	0.436254	0.00429444	0.0190396	0.505131	0.0161862	0.61626474798206287709	0.322045	0.288399	0.136761	0.252796	0.393114	0.734274	1.08275	1.78986	0.95497471443640391531
70	-3279.8813747656258784	-3298.3108991043768583	18.42952433875113627	1.2318252151582453902	0.408709	0.0392486	0.0523266	0.0910776	0.0224852	0.00703654	0.0586704	0.162898	0.0135282	0.104094	0.0129727	0.0249957	0.031596	0.0148983	0.504574	0.0045842	0.00969247	0.4536	0.0126514	0.53973334042892628926	0.307362	0.282738	0.127086	0.282815	0.180773	0.536843	1.02985	2.25254	1.0296383199015723964
80	-3283.1944615480033463	-3301.1583572132899462	17.963895665286671033	2.4158975313540578256	0.323314	0.0520606	0.0573572	0.0836522	0.0146985	0.010185	0.0596858	0.236365	0.0378349	0.107789	0.00425453	0.018841	0.0316706	0.0113618	0.571586	0.00936627	0.00620238	0.386794	0.0146895	0.57477519733660631385	0.287153	0.297492	0.122801	0.292553	0.338335	0.693022	1.07761	1.89104	1.0377087100912563145
90	-3283.4641056549176028	-3302.352477332635317	18.888371677717284314	1.2746775630571458571	0.394138	0.0498608	0.0531072	0.0796531	0.012799	0.00805739	0.0331897	0.174633	0.0165695	0.0924213	0.00425453	0.0313169	0.0349666	0.0286623	0.498168	0.00440457	0.0157239	0.449618	0.003423	0.50348926985620756636	0.272231	0.306917	0.144935	0.275917	0.188326	0.546182	1.03391	2.23158	0.98496771795166271346
